"Date","Value"
"03/09/2009",1.918
"03/16/2009",1.885
"03/23/2009",1.944
"03/30/2009",2.03
"04/06/2009",2.011
"04/13/2009",2.025
"04/20/2009",2.031
"04/27/2009",2.016
"05/04/2009",2.045
"05/11/2009",2.218
"05/18/2009",2.281
"05/25/2009",2.414
"06/01/2009",2.502
"06/08/2009",2.6
"06/15/2009",2.639
"06/22/2009",2.65
"06/29/2009",2.593
"07/06/2009",2.563
"07/13/2009",2.479
"07/20/2009",2.411
"07/27/2009",2.46
"08/03/2009",2.511
"08/10/2009",2.596
"08/17/2009",2.58
"08/24/2009",2.572
"08/31/2009",2.553
"09/07/2009",2.519
"09/14/2009",2.499
"09/21/2009",2.477
"09/28/2009",2.425
"10/05/2009",2.396
"10/12/2009",2.432
"10/19/2009",2.532
"10/26/2009",2.641
"11/02/2009",2.66
"11/09/2009",2.627
"11/16/2009",2.585
"11/23/2009",2.603
"11/30/2009",2.594
"12/07/2009",2.601
"12/14/2009",2.56
"12/21/2009",2.546
"12/28/2009",2.564
"01/04/2010",2.627
"01/11/2010",2.717
"01/18/2010",2.703
"01/25/2010",2.666
"02/01/2010",2.618
"02/08/2010",2.611
"02/15/2010",2.563
"02/22/2010",2.621
"03/01/2010",2.671
"03/08/2010",2.721
"03/15/2010",2.76
"03/22/2010",2.792
"03/29/2010",2.765
"04/05/2010",2.795
"04/12/2010",2.829
"04/19/2010",2.831
"04/26/2010",2.815
"05/03/2010",2.864
"05/10/2010",2.87
"05/17/2010",2.823
"05/24/2010",2.741
"05/31/2010",2.679
"06/07/2010",2.674
"06/14/2010",2.652
"06/21/2010",2.696
"06/28/2010",2.712
"07/05/2010",2.676
"07/12/2010",2.666
"07/19/2010",2.672
"07/26/2010",2.703
"08/02/2010",2.687
"08/09/2010",2.74
"08/16/2010",2.696
"08/23/2010",2.653
"08/30/2010",2.64
"09/06/2010",2.647
"09/13/2010",2.695
"09/20/2010",2.703
"09/27/2010",2.668
"10/04/2010",2.705
"10/11/2010",2.793
"10/18/2010",2.795
"10/25/2010",2.772
"11/01/2010",2.76
"11/08/2010",2.832
"11/15/2010",2.849
"11/22/2010",2.828
"11/29/2010",2.805
"12/06/2010",2.917
"12/13/2010",2.937
"12/20/2010",2.934
"12/27/2010",3.015
"01/03/2011",3.034
"01/10/2011",3.052
"01/17/2011",3.068
"01/24/2011",3.074
"01/31/2011",3.061
"02/07/2011",3.094
"02/14/2011",3.095
"02/21/2011",3.141
"02/28/2011",3.341
"03/07/2011",3.473
"03/14/2011",3.517
"03/21/2011",3.507
"03/28/2011",3.538
"04/04/2011",3.635
"04/11/2011",3.743
"04/18/2011",3.787
"04/25/2011",3.817
"05/02/2011",3.906
"05/09/2011",3.907
"05/16/2011",3.905
"05/23/2011",3.788
"05/30/2011",3.741
"06/06/2011",3.738
"06/13/2011",3.664
"06/20/2011",3.597
"06/27/2011",3.513
"07/04/2011",3.534
"07/11/2011",3.608
"07/18/2011",3.648
"07/25/2011",3.667
"08/01/2011",3.684
"08/08/2011",3.646
"08/15/2011",3.576
"08/22/2011",3.552
"08/29/2011",3.601
"09/05/2011",3.643
"09/12/2011",3.629
"09/19/2011",3.56
"09/26/2011",3.461
"10/03/2011",3.381
"10/10/2011",3.368
"10/17/2011",3.431
"10/24/2011",3.415
"10/31/2011",3.405
"11/07/2011",3.37
"11/14/2011",3.388
"11/21/2011",3.312
"11/28/2011",3.248
"12/05/2011",3.24
"12/12/2011",3.244
"12/19/2011",3.183
"12/26/2011",3.213
"01/02/2012",3.254
"01/09/2012",3.333
"01/16/2012",3.342
"01/23/2012",3.333
"01/30/2012",3.386
"02/06/2012",3.436
"02/13/2012",3.466
"02/20/2012",3.523
"02/27/2012",3.641
"03/05/2012",3.717
"03/12/2012",3.747
"03/19/2012",3.787
"03/26/2012",3.843
"04/02/2012",3.874
"04/09/2012",3.877
"04/16/2012",3.867
"04/23/2012",3.805
"04/30/2012",3.764
"05/07/2012",3.718
"05/14/2012",3.658
"05/21/2012",3.622
"05/28/2012",3.575
"06/04/2012",3.518
"06/11/2012",3.489
"06/18/2012",3.473
"06/25/2012",3.378
"07/02/2012",3.291
"07/09/2012",3.357
"07/16/2012",3.364
"07/23/2012",3.435
"07/30/2012",3.45
"08/06/2012",3.606
"08/13/2012",3.662
"08/20/2012",3.682
"08/27/2012",3.722
"09/03/2012",3.797
"09/10/2012",3.799
"09/17/2012",3.832
"09/24/2012",3.775
"10/01/2012",3.75
"10/08/2012",3.742
"10/15/2012",3.713
"10/22/2012",3.582
"10/29/2012",3.48
"11/05/2012",3.406
"11/12/2012",3.372
"11/19/2012",3.36
"11/26/2012",3.382
"12/03/2012",3.337
"12/10/2012",3.297
"12/17/2012",3.198
"12/24/2012",3.205
"12/31/2012",3.245
"01/07/2013",3.233
